criterion,run,agGridVersion,codePass,codeTotal,browserPass,browserTotal,worksButOutdated,deprecatedSymbols,moduleStrategy,editingModel,legacyCss,enableDevValidations,fetchedDocs,ranBuildOrTypecheck,numTurns,costUsd,verifyCodeUsd,verifyBrowserUsd,failedChecks,blocked,_checkIds
column-sizing,02,36.1.0,4,4,4,5,False,,all-bundle,n/a,False,False,False,False,79,4.757705999999999,0.255653,0.46333899999999995,BROWSER-5,,"[('column-sizing', 'CODE-1', 'pass'), ('column-sizing', 'CODE-2', 'pass'), ('column-sizing', 'CODE-3', 'pass'), ('column-sizing', 'CODE-4', 'pass'), ('column-sizing', 'BROWSER-1', 'pass'), ('column-sizing', 'BROWSER-2', 'pass'), ('column-sizing', 'BROWSER-3', 'pass'), ('column-sizing', 'BROWSER-4', 'pass'), ('column-sizing', 'BROWSER-5', 'fail')]"
column-sizing,03,36.1.0,2,4,5,5,True,,all-bundle,n/a,False,False,False,True,63,3.4183504999999985,0.247651,0.6474369999999999,CODE-1 CODE-3,,"[('column-sizing', 'CODE-1', 'fail'), ('column-sizing', 'CODE-2', 'pass'), ('column-sizing', 'CODE-3', 'fail'), ('column-sizing', 'CODE-4', 'pass'), ('column-sizing', 'BROWSER-1', 'pass'), ('column-sizing', 'BROWSER-2', 'pass'), ('column-sizing', 'BROWSER-3', 'pass'), ('column-sizing', 'BROWSER-4', 'pass'), ('column-sizing', 'BROWSER-5', 'pass')]"
custom-cell-rendering,01,36.1.0,5,5,5,5,False,,all-bundle,n/a,False,False,False,False,9,0.27431249999999996,0.24261949999999996,0.937918,,,"[('custom-cell-rendering', 'CODE-1', 'pass'), ('custom-cell-rendering', 'CODE-2', 'pass'), ('custom-cell-rendering', 'CODE-3', 'pass'), ('custom-cell-rendering', 'CODE-4', 'pass'), ('custom-cell-rendering', 'CODE-5', 'pass'), ('custom-cell-rendering', 'BROWSER-1', 'pass'), ('custom-cell-rendering', 'BROWSER-2', 'pass'), ('custom-cell-rendering', 'BROWSER-3', 'pass'), ('custom-cell-rendering', 'BROWSER-4', 'pass'), ('custom-cell-rendering', 'BROWSER-5', 'pass')]"
custom-cell-rendering,02,36.1.0,5,5,5,5,False,,all-bundle,n/a,False,False,False,True,32,0.8928804999999999,0.2564145,1.2826075,,,"[('custom-cell-rendering', 'CODE-1', 'pass'), ('custom-cell-rendering', 'CODE-2', 'pass'), ('custom-cell-rendering', 'CODE-3', 'pass'), ('custom-cell-rendering', 'CODE-4', 'pass'), ('custom-cell-rendering', 'CODE-5', 'pass'), ('custom-cell-rendering', 'BROWSER-1', 'pass'), ('custom-cell-rendering', 'BROWSER-2', 'pass'), ('custom-cell-rendering', 'BROWSER-3', 'pass'), ('custom-cell-rendering', 'BROWSER-4', 'pass'), ('custom-cell-rendering', 'BROWSER-5', 'pass')]"
custom-cell-rendering,03,36.1.0,5,5,5,5,False,,all-bundle,n/a,False,False,False,False,9,0.261774,0.230298,0.9737544999999996,,,"[('custom-cell-rendering', 'CODE-1', 'pass'), ('custom-cell-rendering', 'CODE-2', 'pass'), ('custom-cell-rendering', 'CODE-3', 'pass'), ('custom-cell-rendering', 'CODE-4', 'pass'), ('custom-cell-rendering', 'CODE-5', 'pass'), ('custom-cell-rendering', 'BROWSER-1', 'pass'), ('custom-cell-rendering', 'BROWSER-2', 'pass'), ('custom-cell-rendering', 'BROWSER-3', 'pass'), ('custom-cell-rendering', 'BROWSER-4', 'pass'), ('custom-cell-rendering', 'BROWSER-5', 'pass')]"
excel-export,01,36.1.0,4,4,5,5,False,,mixed,n/a,False,False,False,True,29,1.197208,0.22443000000000002,0.9263875,,,"[('excel-export', 'CODE-1', 'pass'), ('excel-export', 'CODE-2', 'pass'), ('excel-export', 'CODE-3', 'pass'), ('excel-export', 'CODE-4', 'pass'), ('excel-export', 'BROWSER-1', 'pass'), ('excel-export', 'BROWSER-2', 'pass'), ('excel-export', 'BROWSER-3', 'pass'), ('excel-export', 'BROWSER-4', 'pass'), ('excel-export', 'BROWSER-5', 'pass')]"
excel-export,02,36.1.0,4,4,5,5,False,,mixed,n/a,False,False,False,True,66,2.5216594999999997,0.202824,0.8023925000000001,,,"[('excel-export', 'CODE-1', 'pass'), ('excel-export', 'CODE-2', 'pass'), ('excel-export', 'CODE-3', 'pass'), ('excel-export', 'CODE-4', 'pass'), ('excel-export', 'BROWSER-1', 'pass'), ('excel-export', 'BROWSER-2', 'pass'), ('excel-export', 'BROWSER-3', 'pass'), ('excel-export', 'BROWSER-4', 'pass'), ('excel-export', 'BROWSER-5', 'pass')]"
excel-export,03,36.1.0,4,4,5,5,False,,mixed,n/a,False,False,False,True,35,1.258544,0.209492,0.8772700000000001,,,"[('excel-export', 'CODE-1', 'pass'), ('excel-export', 'CODE-2', 'pass'), ('excel-export', 'CODE-3', 'pass'), ('excel-export', 'CODE-4', 'pass'), ('excel-export', 'BROWSER-1', 'pass'), ('excel-export', 'BROWSER-2', 'pass'), ('excel-export', 'BROWSER-3', 'pass'), ('excel-export', 'BROWSER-4', 'pass'), ('excel-export', 'BROWSER-5', 'pass')]"
first-grid,01,36.1.0,7,7,5,5,False,,all-bundle,n/a,False,True,False,True,43,1.50216,0.261356,0.8387865000000001,,,"[('first-grid', 'CODE-1', 'pass'), ('first-grid', 'CODE-2', 'pass'), ('first-grid', 'CODE-3', 'pass'), ('first-grid', 'CODE-4', 'pass'), ('first-grid', 'CODE-5', 'pass'), ('first-grid', 'CODE-6', 'pass'), ('first-grid', 'CODE-7', 'pass'), ('first-grid', 'BROWSER-1', 'pass'), ('first-grid', 'BROWSER-2', 'pass'), ('first-grid', 'BROWSER-3', 'pass'), ('first-grid', 'BROWSER-4', 'pass'), ('first-grid', 'BROWSER-5', 'pass')]"
first-grid,02,36.1.0,7,7,5,5,False,,all-bundle,n/a,False,False,False,True,33,1.1266184999999997,0.2373055,0.9689289999999999,,,"[('first-grid', 'CODE-1', 'pass'), ('first-grid', 'CODE-2', 'pass'), ('first-grid', 'CODE-3', 'pass'), ('first-grid', 'CODE-4', 'pass'), ('first-grid', 'CODE-5', 'pass'), ('first-grid', 'CODE-6', 'pass'), ('first-grid', 'CODE-7', 'pass'), ('first-grid', 'BROWSER-1', 'pass'), ('first-grid', 'BROWSER-2', 'pass'), ('first-grid', 'BROWSER-3', 'pass'), ('first-grid', 'BROWSER-4', 'pass'), ('first-grid', 'BROWSER-5', 'pass')]"
first-grid,03,36.1.0,7,7,5,5,False,,all-bundle,n/a,False,False,False,True,34,0.9823144999999998,0.230539,0.9694084999999998,,,"[('first-grid', 'CODE-1', 'pass'), ('first-grid', 'CODE-2', 'pass'), ('first-grid', 'CODE-3', 'pass'), ('first-grid', 'CODE-4', 'pass'), ('first-grid', 'CODE-5', 'pass'), ('first-grid', 'CODE-6', 'pass'), ('first-grid', 'CODE-7', 'pass'), ('first-grid', 'BROWSER-1', 'pass'), ('first-grid', 'BROWSER-2', 'pass'), ('first-grid', 'BROWSER-3', 'pass'), ('first-grid', 'BROWSER-4', 'pass'), ('first-grid', 'BROWSER-5', 'pass')]"
integrated-charts,01,36.1.0,5,5,5,5,False,,mixed,n/a,False,False,False,False,86,3.339688999999999,0.17592799999999997,0.762687,,,"[('integrated-charts', 'CODE-1', 'pass'), ('integrated-charts', 'CODE-2', 'pass'), ('integrated-charts', 'CODE-3', 'pass'), ('integrated-charts', 'CODE-4', 'pass'), ('integrated-charts', 'CODE-5', 'pass'), ('integrated-charts', 'BROWSER-1', 'pass'), ('integrated-charts', 'BROWSER-2', 'pass'), ('integrated-charts', 'BROWSER-3', 'pass'), ('integrated-charts', 'BROWSER-4', 'pass'), ('integrated-charts', 'BROWSER-5', 'pass')]"
integrated-charts,02,36.1.0,5,5,5,5,False,,mixed,n/a,False,False,False,False,60,2.3909114999999996,0.21421250000000003,0.7538024999999998,,,"[('integrated-charts', 'CODE-1', 'pass'), ('integrated-charts', 'CODE-2', 'pass'), ('integrated-charts', 'CODE-3', 'pass'), ('integrated-charts', 'CODE-4', 'pass'), ('integrated-charts', 'CODE-5', 'pass'), ('integrated-charts', 'BROWSER-1', 'pass'), ('integrated-charts', 'BROWSER-2', 'pass'), ('integrated-charts', 'BROWSER-3', 'pass'), ('integrated-charts', 'BROWSER-4', 'pass'), ('integrated-charts', 'BROWSER-5', 'pass')]"
integrated-charts,03,36.1.0,5,5,5,5,False,,mixed,n/a,False,False,False,False,47,1.7082570000000001,0.16370400000000002,0.7192044999999999,,,"[('integrated-charts', 'CODE-1', 'pass'), ('integrated-charts', 'CODE-2', 'pass'), ('integrated-charts', 'CODE-3', 'pass'), ('integrated-charts', 'CODE-4', 'pass'), ('integrated-charts', 'CODE-5', 'pass'), ('integrated-charts', 'BROWSER-1', 'pass'), ('integrated-charts', 'BROWSER-2', 'pass'), ('integrated-charts', 'BROWSER-3', 'pass'), ('integrated-charts', 'BROWSER-4', 'pass'), ('integrated-charts', 'BROWSER-5', 'pass')]"
live-data-updates,01,36.1.0,5,5,6,6,False,,all-bundle,n/a,False,False,False,True,46,2.3365175000000002,0.23535,1.581207,,,"[('live-data-updates', 'CODE-1', 'pass'), ('live-data-updates', 'CODE-2', 'pass'), ('live-data-updates', 'CODE-3', 'pass'), ('live-data-updates', 'CODE-4', 'pass'), ('live-data-updates', 'CODE-5', 'pass'), ('live-data-updates', 'BROWSER-1', 'pass'), ('live-data-updates', 'BROWSER-2', 'pass'), ('live-data-updates', 'BROWSER-3', 'pass'), ('live-data-updates', 'BROWSER-4', 'pass'), ('live-data-updates', 'BROWSER-5', 'pass'), ('live-data-updates', 'BROWSER-6', 'pass')]"
live-data-updates,02,36.1.0,5,5,6,6,False,,all-bundle,n/a,False,False,False,False,60,3.0349180000000007,0.230068,0.939151,,,"[('live-data-updates', 'CODE-1', 'pass'), ('live-data-updates', 'CODE-2', 'pass'), ('live-data-updates', 'CODE-3', 'pass'), ('live-data-updates', 'CODE-4', 'pass'), ('live-data-updates', 'CODE-5', 'pass'), ('live-data-updates', 'BROWSER-1', 'pass'), ('live-data-updates', 'BROWSER-2', 'pass'), ('live-data-updates', 'BROWSER-3', 'pass'), ('live-data-updates', 'BROWSER-4', 'pass'), ('live-data-updates', 'BROWSER-5', 'pass'), ('live-data-updates', 'BROWSER-6', 'pass')]"
live-data-updates,03,36.1.0,5,5,6,6,False,,all-bundle,n/a,False,False,False,True,23,0.8877375000000001,0.224414,1.6127490000000002,,,"[('live-data-updates', 'CODE-1', 'pass'), ('live-data-updates', 'CODE-2', 'pass'), ('live-data-updates', 'CODE-3', 'pass'), ('live-data-updates', 'CODE-4', 'pass'), ('live-data-updates', 'CODE-5', 'pass'), ('live-data-updates', 'BROWSER-1', 'pass'), ('live-data-updates', 'BROWSER-2', 'pass'), ('live-data-updates', 'BROWSER-3', 'pass'), ('live-data-updates', 'BROWSER-4', 'pass'), ('live-data-updates', 'BROWSER-5', 'pass'), ('live-data-updates', 'BROWSER-6', 'pass')]"
loading-states,01,36.1.0,6,6,4,4,False,,all-bundle,n/a,False,False,False,True,15,0.44950350000000006,0.19742300000000002,0.9150789999999999,,,"[('loading-states', 'CODE-1', 'pass'), ('loading-states', 'CODE-2', 'pass'), ('loading-states', 'CODE-3', 'pass'), ('loading-states', 'CODE-4', 'pass'), ('loading-states', 'CODE-5', 'pass'), ('loading-states', 'CODE-6', 'pass'), ('loading-states', 'BROWSER-1', 'pass'), ('loading-states', 'BROWSER-2', 'pass'), ('loading-states', 'BROWSER-3', 'pass'), ('loading-states', 'BROWSER-4', 'pass')]"
loading-states,02,36.1.0,6,6,4,4,False,,all-bundle,n/a,False,False,False,False,31,0.9637935,0.205618,0.78661,,,"[('loading-states', 'CODE-1', 'pass'), ('loading-states', 'CODE-2', 'pass'), ('loading-states', 'CODE-3', 'pass'), ('loading-states', 'CODE-4', 'pass'), ('loading-states', 'CODE-5', 'pass'), ('loading-states', 'CODE-6', 'pass'), ('loading-states', 'BROWSER-1', 'pass'), ('loading-states', 'BROWSER-2', 'pass'), ('loading-states', 'BROWSER-3', 'pass'), ('loading-states', 'BROWSER-4', 'pass')]"
loading-states,03,36.1.0,6,6,4,4,False,,all-bundle,n/a,False,False,False,True,27,1.120079,0.24761350000000001,0.7031355,,,"[('loading-states', 'CODE-1', 'pass'), ('loading-states', 'CODE-2', 'pass'), ('loading-states', 'CODE-3', 'pass'), ('loading-states', 'CODE-4', 'pass'), ('loading-states', 'CODE-5', 'pass'), ('loading-states', 'CODE-6', 'pass'), ('loading-states', 'BROWSER-1', 'pass'), ('loading-states', 'BROWSER-2', 'pass'), ('loading-states', 'BROWSER-3', 'pass'), ('loading-states', 'BROWSER-4', 'pass')]"
pagination,01,36.1.0,4,4,5,5,False,,all-bundle,n/a,False,False,False,False,6,0.1644005,0.16137200000000002,0.9193164999999999,,,"[('pagination', 'CODE-1', 'pass'), ('pagination', 'CODE-2', 'pass'), ('pagination', 'CODE-3', 'pass'), ('pagination', 'CODE-4', 'pass'), ('pagination', 'BROWSER-1', 'pass'), ('pagination', 'BROWSER-2', 'pass'), ('pagination', 'BROWSER-3', 'pass'), ('pagination', 'BROWSER-4', 'pass'), ('pagination', 'BROWSER-5', 'pass')]"
pagination,02,36.1.0,4,4,5,5,False,,all-bundle,n/a,False,False,False,False,7,0.187215,0.15788100000000002,1.2410735,,,"[('pagination', 'CODE-1', 'pass'), ('pagination', 'CODE-2', 'pass'), ('pagination', 'CODE-3', 'pass'), ('pagination', 'CODE-4', 'pass'), ('pagination', 'BROWSER-1', 'pass'), ('pagination', 'BROWSER-2', 'pass'), ('pagination', 'BROWSER-3', 'pass'), ('pagination', 'BROWSER-4', 'pass'), ('pagination', 'BROWSER-5', 'pass')]"
pagination,03,36.1.0,4,4,5,5,False,,all-bundle,n/a,False,False,False,True,34,0.9889219999999999,0.14941100000000002,1.0551599999999999,,,"[('pagination', 'CODE-1', 'pass'), ('pagination', 'CODE-2', 'pass'), ('pagination', 'CODE-3', 'pass'), ('pagination', 'CODE-4', 'pass'), ('pagination', 'BROWSER-1', 'pass'), ('pagination', 'BROWSER-2', 'pass'), ('pagination', 'BROWSER-3', 'pass'), ('pagination', 'BROWSER-4', 'pass'), ('pagination', 'BROWSER-5', 'pass')]"
row-grouping-totals,01,36.1.0,8,8,7,7,False,,mixed,n/a,False,False,False,False,48,1.678834,0.18438849999999998,0.6837915,,,"[('row-grouping-totals', 'CODE-1', 'pass'), ('row-grouping-totals', 'CODE-2', 'pass'), ('row-grouping-totals', 'CODE-3', 'pass'), ('row-grouping-totals', 'CODE-4', 'pass'), ('row-grouping-totals', 'CODE-5', 'pass'), ('row-grouping-totals', 'CODE-6', 'pass'), ('row-grouping-totals', 'CODE-7', 'pass'), ('row-grouping-totals', 'CODE-8', 'pass'), ('row-grouping-totals', 'BROWSER-1', 'pass'), ('row-grouping-totals', 'BROWSER-2', 'pass'), ('row-grouping-totals', 'BROWSER-3', 'pass'), ('row-grouping-totals', 'BROWSER-4', 'pass'), ('row-grouping-totals', 'BROWSER-5', 'pass'), ('row-grouping-totals', 'BROWSER-6', 'pass'), ('row-grouping-totals', 'BROWSER-7', 'pass')]"
row-grouping-totals,02,36.1.0,8,8,7,7,False,,mixed,n/a,False,False,False,False,75,3.1497599999999997,0.19182849999999999,0.5408425,,,"[('row-grouping-totals', 'CODE-1', 'pass'), ('row-grouping-totals', 'CODE-2', 'pass'), ('row-grouping-totals', 'CODE-3', 'pass'), ('row-grouping-totals', 'CODE-4', 'pass'), ('row-grouping-totals', 'CODE-5', 'pass'), ('row-grouping-totals', 'CODE-6', 'pass'), ('row-grouping-totals', 'CODE-7', 'pass'), ('row-grouping-totals', 'CODE-8', 'pass'), ('row-grouping-totals', 'BROWSER-1', 'pass'), ('row-grouping-totals', 'BROWSER-2', 'pass'), ('row-grouping-totals', 'BROWSER-3', 'pass'), ('row-grouping-totals', 'BROWSER-4', 'pass'), ('row-grouping-totals', 'BROWSER-5', 'pass'), ('row-grouping-totals', 'BROWSER-6', 'pass'), ('row-grouping-totals', 'BROWSER-7', 'pass')]"
row-grouping-totals,03,36.1.0,8,8,7,7,False,,mixed,n/a,False,False,False,True,46,1.5074705000000002,0.20494549999999997,0.5607795,,,"[('row-grouping-totals', 'CODE-1', 'pass'), ('row-grouping-totals', 'CODE-2', 'pass'), ('row-grouping-totals', 'CODE-3', 'pass'), ('row-grouping-totals', 'CODE-4', 'pass'), ('row-grouping-totals', 'CODE-5', 'pass'), ('row-grouping-totals', 'CODE-6', 'pass'), ('row-grouping-totals', 'CODE-7', 'pass'), ('row-grouping-totals', 'CODE-8', 'pass'), ('row-grouping-totals', 'BROWSER-1', 'pass'), ('row-grouping-totals', 'BROWSER-2', 'pass'), ('row-grouping-totals', 'BROWSER-3', 'pass'), ('row-grouping-totals', 'BROWSER-4', 'pass'), ('row-grouping-totals', 'BROWSER-5', 'pass'), ('row-grouping-totals', 'BROWSER-6', 'pass'), ('row-grouping-totals', 'BROWSER-7', 'pass')]"
row-selection-checkboxes,01,36.1.0,6,6,7,7,False,,all-bundle,n/a,False,False,False,True,33,1.1211389999999999,0.199768,0.796811,,,"[('row-selection-checkboxes', 'CODE-1', 'pass'), ('row-selection-checkboxes', 'CODE-2', 'pass'), ('row-selection-checkboxes', 'CODE-3', 'pass'), ('row-selection-checkboxes', 'CODE-4', 'pass'), ('row-selection-checkboxes', 'CODE-5', 'pass'), ('row-selection-checkboxes', 'CODE-6', 'pass'), ('row-selection-checkboxes', 'BROWSER-1', 'pass'), ('row-selection-checkboxes', 'BROWSER-2', 'pass'), ('row-selection-checkboxes', 'BROWSER-3', 'pass'), ('row-selection-checkboxes', 'BROWSER-4', 'pass'), ('row-selection-checkboxes', 'BROWSER-5', 'pass'), ('row-selection-checkboxes', 'BROWSER-6', 'pass'), ('row-selection-checkboxes', 'BROWSER-7', 'pass')]"
row-selection-checkboxes,02,36.1.0,6,6,7,7,False,,all-bundle,n/a,False,False,False,False,13,0.387595,0.20814749999999999,0.934404,,,"[('row-selection-checkboxes', 'CODE-1', 'pass'), ('row-selection-checkboxes', 'CODE-2', 'pass'), ('row-selection-checkboxes', 'CODE-3', 'pass'), ('row-selection-checkboxes', 'CODE-4', 'pass'), ('row-selection-checkboxes', 'CODE-5', 'pass'), ('row-selection-checkboxes', 'CODE-6', 'pass'), ('row-selection-checkboxes', 'BROWSER-1', 'pass'), ('row-selection-checkboxes', 'BROWSER-2', 'pass'), ('row-selection-checkboxes', 'BROWSER-3', 'pass'), ('row-selection-checkboxes', 'BROWSER-4', 'pass'), ('row-selection-checkboxes', 'BROWSER-5', 'pass'), ('row-selection-checkboxes', 'BROWSER-6', 'pass'), ('row-selection-checkboxes', 'BROWSER-7', 'pass')]"
row-selection-checkboxes,03,36.1.0,6,6,7,7,False,,all-bundle,n/a,False,False,False,False,12,0.35309700000000005,0.2044625,0.847417,,,"[('row-selection-checkboxes', 'CODE-1', 'pass'), ('row-selection-checkboxes', 'CODE-2', 'pass'), ('row-selection-checkboxes', 'CODE-3', 'pass'), ('row-selection-checkboxes', 'CODE-4', 'pass'), ('row-selection-checkboxes', 'CODE-5', 'pass'), ('row-selection-checkboxes', 'CODE-6', 'pass'), ('row-selection-checkboxes', 'BROWSER-1', 'pass'), ('row-selection-checkboxes', 'BROWSER-2', 'pass'), ('row-selection-checkboxes', 'BROWSER-3', 'pass'), ('row-selection-checkboxes', 'BROWSER-4', 'pass'), ('row-selection-checkboxes', 'BROWSER-5', 'pass'), ('row-selection-checkboxes', 'BROWSER-6', 'pass'), ('row-selection-checkboxes', 'BROWSER-7', 'pass')]"
